stop_id,stop_code,stop_name,stop_desc,platform_code,platform_name,stop_lat,stop_lon,zone_id,stop_address,stop_url,level_id,location_type,parent_station,wheelchair_boarding,municipality,on_street,at_street,vehicle_type
place-GRB-0183,place-GRB-0183,Nantasket Junction,,,,42.244959,-70.869205,CR-zone-4,,,,1,,1,Hingham,,,
place-GRB-0183-0,place-GRB-0183-0,platform 0,,,,42.244959,-70.869205,CR-zone-4,,,,0,place-GRB-0183,1,Hingham,,,2
place-GRB-0183-1,place-GRB-0183-1,platform 1,,,,42.244959,-70.869205,CR-zone-4,,,,0,place-GRB-0183,1,Hingham,,,2
place-NHRML-0152,place-NHRML-0152,Wilmington,,,,42.546624,-71.174334,CR-zone-3,,,,1,,1,Wilmington,,,
place-NHRML-0152-0,place-NHRML-0152-0,platform 0,,,,42.546624,-71.174334,CR-zone-3,,,,0,place-NHRML-0152,1,Wilmington,,,2
place-NHRML-0152-1,place-NHRML-0152-1,platform 1,,,,42.546624,-71.174334,CR-zone-3,,,,0,place-NHRML-0152,1,Wilmington,,,2
place-NHRML-0218,place-NHRML-0218,North Billerica,,,,42.593248,-71.280995,CR-zone-5,,,,1,,1,Billerica,,,
place-NHRML-0218-0,place-NHRML-0218-0,platform 0,,,,42.593248,-71.280995,CR-zone-5,,,,0,place-NHRML-0218,1,Billerica,,,2
place-NHRML-0218-1,place-NHRML-0218-1,platform 1,,,,42.593248,-71.280995,CR-zone-5,,,,0,place-NHRML-0218,1,Billerica,,,2
place-armnl,place-armnl,Arlington,,,,42.351902,-71.070893,,,,,1,,1,Boston,,,
70156,70156,Arlington,,,,42.351902,-71.070893,RapidTransit,,,level_-2_platform,0,place-armnl,1,Boston,,,0
70157,70157,Arlington,,,,42.351902,-71.070893,RapidTransit,,,level_-2_platform,0,place-armnl,1,Boston,,,0
place-prmnl,place-prmnl,Prudential,,,,42.34557,-71.081696,,,,,1,,1,Boston,,,
70239,70239,Prudential,,,,42.34557,-71.081696,RapidTransit,,,level_-2_platform,0,place-prmnl,1,Boston,,,0
70240,70240,Prudential,,,,42.34557,-71.081696,RapidTransit,,,level_-2_platform,0,place-prmnl,1,Boston,,,0
place-PB-0158,place-PB-0158,South Weymouth,,,,42.155025,-70.953302,CR-zone-3,,,,1,,1,Weymouth,,,
place-PB-0158-0,place-PB-0158-0,platform 0,,,,42.155025,-70.953302,CR-zone-3,,,,0,place-PB-0158,1,Weymouth,,,2
place-PB-0158-1,place-PB-0158-1,platform 1,,,,42.155025,-70.953302,CR-zone-3,,,,0,place-PB-0158,1,Weymouth,,,2
place-DB-2205,place-DB-2205,Fairmount,,,,42.253638,-71.11927,CR-zone-1A,,,,1,,1,Boston,,,
place-DB-2205-0,place-DB-2205-0,platform 0,,,,42.253638,-71.11927,CR-zone-1A,,,,0,place-DB-2205,1,Boston,,,2
place-DB-2205-1,place-DB-2205-1,platform 1,,,,42.253638,-71.11927,CR-zone-1A,,,,0,place-DB-2205,1,Boston,,,2
place-aport,place-aport,Airport,,,,42.374262,-71.030395,,,,,1,,1,Boston,,,
70047,70047,Airport,,,,42.374262,-71.030395,RapidTransit,,,level_0_platform,0,place-aport,1,Boston,,,1
70048,70048,Airport,,,,42.374262,-71.030395,RapidTransit,,,level_0_platform,0,place-aport,1,Boston,,,1
7096,7096,Airport,,,,42.3745,-71.029541,SLWaterfrontNonLogan,,,level_ground,0,place-aport,1,Boston,Airport Station Bus Access,,3
