route_id,direction_id,direction,direction_destination
Shuttle-ForestHillsNewtonHighlands,0,Outbound,Newton Highlands
Shuttle-ForestHillsNewtonHighlands,1,Inbound,South Station
Shuttle-ForestHillsRuggles,0,South,Forest Hills
Shuttle-ForestHillsRuggles,1,North,Oak Grove
Shuttle-ForgeParkNorwoodCentral,0,Outbound,Forge Park/495
Shuttle-ForgeParkNorwoodCentral,1,Inbound,South Station
Shuttle-ForgeParkReadville,0,Outbound,Forge Park/495
Shuttle-ForgeParkReadville,1,Inbound,South Station
Shuttle-ForgeParkSouthStation,0,Outbound,Forge Park/495
Shuttle-ForgeParkSouthStation,1,Inbound,South Station
Shuttle-ForgeParkWalpole,0,Outbound,Forge Park/495
Shuttle-ForgeParkWalpole,1,Inbound,South Station
Shuttle-FraminghamSouthStationExpress,0,Outbound,Worcester
Shuttle-FraminghamSouthStationExpress,1,Inbound,South Station
Shuttle-GovernmentCenterMedfordViaUnionSq,0,West,Government Center
Shuttle-GovernmentCenterMedfordViaUnionSq,1,East,Medford/Tufts
Shuttle-GovernmentCenterNorthStation,0,West,Copley & West
Shuttle-GovernmentCenterNorthStation,1,East,Lechmere & North
Shuttle-GovernmentCenterOrientHeightsExpress,0,West,Government Center
Shuttle-GovernmentCenterOrientHeightsExpress,1,East,Orient Heights
Shuttle-GovernmentCenterOrientHeightsLocal,0,West,Government Center
Shuttle-GovernmentCenterOrientHeightsLocal,1,East,Orient Heights
Shuttle-GovernmentCenterUnionSquare,0,West,Copley & West
Shuttle-GovernmentCenterUnionSquare,1,East,Union Square
Shuttle-GovernmentCenterWonderland,0,South,Government Center
Shuttle-GovernmentCenterWonderland,1,North,Wonderland
Shuttle-GreenbushNorthScituate,0,Outbound,Greenbush
Shuttle-GreenbushNorthScituate,1,Inbound,South Station
Shuttle-HalifaxKingston,0,Outbound,Kingston
Shuttle-HalifaxKingston,1,Inbound,South Station
Shuttle-HarvardJFK,0,South,Ashmont/Braintree
Shuttle-HarvardJFK,1,North,Alewife
